method,method_label,depth,target_age,n,accuracy,mean_answer_ce,mean_teacher_answer_ce,mean_ce_gap_to_full,mean_kl_to_full,source_tokens,represented_source_tokens,memory_positions,source_tokens_per_position,mean_compaction_ms_per_chunk
text_window,Text window,32,overall,8,0.25,1.4408335110001644,0.0007293547423614655,1.440104156257803,1.4387897314773,2048,64,64,32.0,
text_window,Text window,32,oldest,4,0.0,1.333295226097107,0.001097138607292436,1.3321980874898145,1.3295146524906158,2048,64,64,32.0,
text_window,Text window,32,middle,2,0.0,3.096438765525818,0.0002143749297829345,3.096224390596035,3.095256507396698,2048,64,64,32.0,
text_window,Text window,32,newest,2,1.0,0.0003048262806260027,0.0005087668250780553,-0.00020394054445205256,0.0008731135312700644,2048,64,64,32.0,
text_window,Text window,100,overall,8,0.375,1.2206819670973346,0.0035880308569176123,1.217093936240417,1.2144402758713113,6400,64,64,100.0,
text_window,Text window,100,oldest,4,0.0,1.9598446786403656,0.004773684573592618,1.955070994066773,1.9462552666664124,6400,64,64,100.0,
text_window,Text window,100,middle,2,0.5,0.9622572213411331,0.0011892375187017024,0.9610679838224314,0.9585792571306229,6400,64,64,100.0,
text_window,Text window,100,newest,2,1.0,0.0007812897674739361,0.0036155167617835104,-0.0028342269943095744,0.006671313021797687,6400,64,64,100.0,
single_step,Single-step Still,1,overall,8,1.0,2.528652578348556e-05,0.0005724170550820418,-0.0005471305292985562,0.0032381450437242165,64,64,64,1.0,65.13544055633247
single_step,Single-step Still,1,oldest,4,1.0,2.509267096684198e-05,0.0007383082847809419,-0.0007132156138140999,0.004255944979377091,64,64,64,1.0,79.48630524333566
single_step,Single-step Still,1,middle,2,1.0,9.35788420974859e-06,0.0005141233268659562,-0.0005047654426562076,0.0027506067999638617,64,64,64,1.0,48.86308661662042
single_step,Single-step Still,1,newest,2,1.0,4.1602876990509685e-05,0.0002989283239003271,-0.0002573254469098174,0.0016900834161788225,64,64,64,1.0,52.706065122038126
single_step,Single-step Still,2,overall,8,1.0,0.2324142763391137,0.0004032835531688761,0.23201099278594484,0.23107966966927052,128,128,64,2.0,51.98147284681909
single_step,Single-step Still,2,oldest,4,1.0,0.18833122216165066,0.0005173437893972732,0.18781387837225338,0.18683904502540827,128,128,64,2.0,51.96165421511978
single_step,Single-step Still,2,middle,2,1.0,0.27635373605880886,0.000235814386542188,0.2761179216722667,0.2753976600943133,128,128,64,2.0,52.35843767877668
single_step,Single-step Still,2,newest,2,1.0,0.27664092497434467,0.00034263224733876996,0.2762982927270059,0.2752429285319522,128,128,64,2.0,51.64414527826011
single_step,Single-step Still,4,overall,8,0.875,0.4031813305336982,0.0012762983601533051,0.4019050321735449,0.3979957857518457,256,256,64,4.0,52.86555513157509
single_step,Single-step Still,4,oldest,4,0.75,0.5131217259913683,0.0005425419503808371,0.5125791840409875,0.5107646489050239,256,256,64,4.0,53.09025302994996
single_step,Single-step Still,4,middle,2,1.0,0.016614303924143314,0.0009472433594055474,0.015667060564737767,0.015695698792114854,256,256,64,4.0,52.25189996417612
